"Reviewer","index","DOI","URL","Citation","Journal"
"Reviewer2",1363,"10.1061/(ASCE)WR.1943-5452.0000816","https://doi.org/10.1061/(ASCE)WR.1943-5452.0000816","Fan, R.; Tong, S.T.Y.; Lee, J.G. (2017) Determining the optimal BMP arrangement under current and future climate regimes: Case study. Journal of Water Resources Planning and Management. 143, NA.","Journal of Water Resources Planning and Management"
"Reviewer2",1406,"10.1061/(ASCE)WR.1943-5452.0000769","https://doi.org/10.1061/(ASCE)WR.1943-5452.0000769","Lence, B.J.; Moosavian, N.; Daliri, H. (2017) Fuzzy Programming Approach for Multiobjective Optimization of Water Distribution Systems. Journal of Water Resources Planning and Management. 143, NA.","Journal of Water Resources Planning and Management"
"Reviewer2",1408,"10.1061/(ASCE)WR.1943-5452.0000759","https://doi.org/10.1061/(ASCE)WR.1943-5452.0000759","Islam, N.; Sadiq, R.; Rodriguez, M.J. (2017) Optimizing locations for chlorine booster stations in small water distribution networks. Journal of Water Resources Planning and Management. 143, NA.","Journal of Water Resources Planning and Management"
"Reviewer2",1426,"10.1061/(ASCE)WR.1943-5452.0000781","https://doi.org/10.1061/(ASCE)WR.1943-5452.0000781","Mahmoud, H.A.; Savić, D.; Kapelan, Z. (2017) New pressure-driven approach for modeling water distribution networks. Journal of Water Resources Planning and Management. 143, NA.","Journal of Water Resources Planning and Management"
"Reviewer2",1436,"10.1061/(ASCE)WR.1943-5452.0000748","https://doi.org/10.1061/(ASCE)WR.1943-5452.0000748","Zhou, Q.; Blohm, A.; Liu, B. (2017) Planning framework for mesolevel optimization of urban runoff control schemes. Journal of Water Resources Planning and Management. 143, NA.","Journal of Water Resources Planning and Management"
"Reviewer2",1472,"10.1002/2017WR020667","https://doi.org/10.1002/2017WR020667","Hernandez, M.; Nearing, M.A.; Al-Hamdan, O.Z.; Pierson, F.B.; Armendariz, G.; Weltz, M.A.; Spaeth, K.E.; Williams, C.J.; Nouwakpo, S.K.; Goodrich, D.C.; Unkrich, C.L.; Nichols, M.H.; Holifield Collins, C.D.; Munz, M.; Oswald, S.E.; Schmidt, C. (2017) Coupled Long-Term Simulation of Reach-Scale Water and Heat Fluxes Across the River-Groundwater Interface for Retrieving Hyporheic Residence Times and Temperature Dynamics. Water Resources Research. 53, 8900-8924.","Water Resources Research"
"Reviewer2",1476,"10.1002/2017WR021193","https://doi.org/10.1002/2017WR021193","Thompson, S.; MacVean, L.; Sivapalan, M. (2017) A Stochastic Water Balance Framework for Lowland Watersheds. Water Resources Research. 53, 9564-9579.","Water Resources Research"
"Reviewer2",1479,"10.1002/2017WR020863","https://doi.org/10.1002/2017WR020863","Desbarats, A.J.; Pal, T.; Mukherjee, P.K.; Beckie, R.D. (2017) Geochemical Evolution of Groundwater Flowing Through Arsenic Source Sediments in an Aquifer System of West Bengal, India. Water Resources Research. 53, 8715-8735.","Water Resources Research"
"Reviewer2",1579,"10.1002/2017WR020460","https://doi.org/10.1002/2017WR020460","Wörman, A.; Bottacin-Busolin, A.; Zmijewski, N.; Riml, J. (2017) Spectral decomposition of regulatory thresholds for climate-driven fluctuations in hydro- and wind power availability. Water Resources Research. 53, 7296-7315.","Water Resources Research"
"Reviewer2",1666,"10.1002/2016WR020202","https://doi.org/10.1002/2016WR020202","Drummond, J.D.; Larsen, L.G.; González-Pinzón, R.; Packman, A.I.; Harvey, J.W. (2017) Fine particle retention within stream storage areas at base flow and in response to a storm event. Water Resources Research. 53, 5690-5705.","Water Resources Research"
"Reviewer2",1680,"10.1002/2016WR020250","https://doi.org/10.1002/2016WR020250","Vásquez Lavín, F.A.; Hernandez, J.I.; Ponce, R.D.; Orrego, S.A. (2017) Functional forms and price elasticities in a discrete continuous choice model of the residential water demand. Water Resources Research. 53, 6296-6311.","Water Resources Research"
"Reviewer2",1751,"10.1002/2016WR019767","https://doi.org/10.1002/2016WR019767","Voisin, N.; Hejazi, M.I.; Leung, L.R.; Liu, L.; Huang, M.; Li, H.-Y.; Tesfa, T. (2017) Effects of spatially distributed sectoral water management on the redistribution of water resources in an integrated water model. Water Resources Research. 53, 4253-4270.","Water Resources Research"
"Reviewer2",1785,"10.1002/2016WR020192","https://doi.org/10.1002/2016WR020192","Zhang, Y.; Baeumer, B.; Chen, L.; Reeves, D.M.; Sun, H. (2017) A fully subordinated linear flow model for hillslope subsurface stormflow. Water Resources Research. 53, 3491-3504.","Water Resources Research"
"Reviewer2",1808,"10.1002/2016WR019665","https://doi.org/10.1002/2016WR019665","Bennett, J.P.; Haslauer, C.P.; Cirpka, O.A. (2017) The impact of sedimentary anisotropy on solute mixing in stacked scour-pool structures. Water Resources Research. 53, 2813-2832.","Water Resources Research"
