Reviewer,index,DOI,URL,Citation,Journal
Reviewer3,1717,10.1002/2016WR020293,https://doi.org/10.1002/2016WR020293,"Somogyvári, M.; Jalali, M.; Jimenez Parras, S.; Bayer, P. (2017) Synthetic fracture network characterization with transdimensional inversion. Water Resources Research. 53, 5104-5123.",Water Resources Research
Reviewer3,1727,10.1002/2016WR020209,https://doi.org/10.1002/2016WR020209,"De Schepper, G.; Therrien, R.; Refsgaard, J.C.; He, X.; Kjaergaard, C.; Iversen, B.V. (2017) Simulating seasonal variations of tile drainage discharge in an agricultural catchment. Water Resources Research. 53, 3896-3920.",Water Resources Research
Reviewer3,1754,10.1002/2016WR020143,https://doi.org/10.1002/2016WR020143,"Nissan, A.; Dror, I.; Berkowitz, B. (2017) Time-dependent velocity-field controls on anomalous chemical transport in porous media. Water Resources Research. 53, 3760-3769.",Water Resources Research
Reviewer3,1782,10.1002/2016WR019691,https://doi.org/10.1002/2016WR019691,"Guswa, A.J.; Hamel, P.; Dennedy-Frank, P.J. (2017) Potential effects of landscape change on water supplies in the presence of reservoir storage. Water Resources Research. 53, 2679-2692.",Water Resources Research
Reviewer3,1794,10.1002/2016WR019445,https://doi.org/10.1002/2016WR019445,"Wong, C.P.; Jiang, B.; Bohn, T.J.; Lee, K.N.; Lettenmaier, D.P.; Ma, D.; Ouyang, Z. (2017) Lake and wetland ecosystem services measuring water storage and local climate regulation. Water Resources Research. 53, 3197-3223.",Water Resources Research
Reviewer3,1798,10.1002/2016WR018865,https://doi.org/10.1002/2016WR018865,"Ding, B.; Yang, K.; Yang, W.; He, X.; Chen, Y.; Lazhu; Guo, X.; Wang, L.; Wu, H.; Yao, T. (2017) Development of a Water and Enthalpy Budget-based Glacier mass balance Model (WEB-GM) and its preliminary validation. Water Resources Research. 53, 3146-3178.",Water Resources Research
Reviewer3,1834,10.1002/2016WR018935,https://doi.org/10.1002/2016WR018935,"Li, L.; Bao, C.; Sullivan, P.L.; Brantley, S.; Shi, Y.; Duffy, C. (2017) Understanding watershed hydrogeochemistry: 2. Synchronized hydrological and geochemical processes drive stream chemostatic behavior. Water Resources Research. 53, 2346-2367.",Water Resources Research
Reviewer3,1843,10.1002/2016WR019277,https://doi.org/10.1002/2016WR019277,"Scudeler, C.; Paniconi, C.; Pasetto, D.; Putti, M. (2017) Examination of the seepage face boundary condition in subsurface and coupled surface/subsurface hydrological models. Water Resources Research. 53, 1799-1819.",Water Resources Research
Reviewer3,1910,10.1002/2016WR019868,https://doi.org/10.1002/2016WR019868,"Zhou, Q.; Oldenburg, C.M.; Spangler, L.H.; Birkholzer, J.T. (2017) Approximate solutions for diffusive fracture-matrix transfer: Application to storage of dissolved CO2 in fractured rocks. Water Resources Research. 53, 1746-1762.",Water Resources Research
Reviewer4,4,10.1016/j.envsoft.2017.08.001,https://doi.org/10.1016/j.envsoft.2017.08.001,"Gustafson, E.J.; Miranda, B.R.; De Bruijn, A.M.G.; Sturtevant, B.R.; Kubiske, M.E. (2017) Do rising temperatures always increase forest productivity? Interacting effects of temperature, precipitation, cloudiness and soil texture on tree species growth and competition. Environmental Modelling and Software. 97, 171-183.",Environmental Modelling and Software
Reviewer4,12,10.1016/j.envsoft.2016.11.003,https://doi.org/10.1016/j.envsoft.2016.11.003,"Zulkafli, Z.; Perez, K.; Vitolo, C.; Buytaert, W.; Karpouzoglou, T.; Dewulf, A.; De Bièvre, B.; Clark, J.; Hannah, D.M.; Shaheed, S.; Kotir, J.H.; Brown, G.; Marshall, N.; Johnstone, R.; Donato, D.I. (2017) Simple, efficient allocation of modelling runs on heterogeneous clusters with MPI. Environmental Modelling and Software. 88, 48-57.",Environmental Modelling and Software
Reviewer4,39,10.1016/j.envsoft.2017.07.010,https://doi.org/10.1016/j.envsoft.2017.07.010,"Singer, A.; Gray, S.; Sadler, A.; Schmitt Olabisi, L.; Metta, K.; Wallace, R.; Lopez, M.C.; Introne, J.; Gorman, M.; Henderson, J. (2017) Translating community narratives into semi-quantitative models to understand the dynamics of socio-environmental crises. Environmental Modelling and Software. 97, 46-55.",Environmental Modelling and Software
Reviewer4,50,10.1016/j.envsoft.2017.01.023,https://doi.org/10.1016/j.envsoft.2017.01.023,"Humphrey, G.B.; Maier, H.R.; Wu, W.; Mount, N.J.; Dandy, G.C.; Abrahart, R.J.; Dawson, C.W. (2017) Improved validation framework and R-package for artificial neural network models. Environmental Modelling and Software. 92, 82-106.",Environmental Modelling and Software
Reviewer4,82,10.1016/j.envsoft.2017.08.005,https://doi.org/10.1016/j.envsoft.2017.08.005,"Sattar, A.M.A.; Jasak, H.; Skuric, V. (2017) Three dimensional modeling of free surface flow and sediment transport with bed deformation using automatic mesh motion. Environmental Modelling and Software. 97, 303-317.",Environmental Modelling and Software
Reviewer4,87,10.1016/j.envsoft.2017.02.025,https://doi.org/10.1016/j.envsoft.2017.02.025,"Rising, J.A. (2017) A flexible approach to model coupling through probabilistic pooling. Environmental Modelling and Software. 93, 409-417.",Environmental Modelling and Software
Reviewer4,141,10.1016/j.envsoft.2017.06.049,https://doi.org/10.1016/j.envsoft.2017.06.049,"Quinn, J.D.; Reed, P.M.; Keller, K.; Xu, W.; Collingsworth, P.; Bailey, B.; Carlson Mazur, M.; Schaeffer, J.; Minsker, B. (2017) Detecting spatial patterns of rivermouth processes using a geostatistical framework for near-real-time analysis. Environmental Modelling and Software. 97, 72-85.",Environmental Modelling and Software
Reviewer4,161,10.1016/j.envsoft.2017.05.003,https://doi.org/10.1016/j.envsoft.2017.05.003,"Housh, M. (2017) Non-probabilistic robust optimization approach for flood control system design. Environmental Modelling and Software. 95, 48-60.",Environmental Modelling and Software
Reviewer4,208,10.1016/j.envsoft.2016.10.006,https://doi.org/10.1016/j.envsoft.2016.10.006,"Isakov, V.; Barzyk, T.M.; Smith, E.R.; Arunachalam, S.; Naess, B.; Venkatram, A.; Mayfield, H.; Smith, C.; Gallagher, M.; Hockings, M. (2017) Use of freely available datasets and machine learning methods in predicting deforestation. Environmental Modelling and Software. 87, 134-145.",Environmental Modelling and Software
Reviewer4,223,10.1016/j.envsoft.2016.11.028,https://doi.org/10.1016/j.envsoft.2016.11.028,"Clark, S.; Sisson, S.A.; Sharma, A. (2017) Nonlinear manifold representation in natural systems: The SOMersault. Environmental Modelling and Software. 89, 61-76.",Environmental Modelling and Software
Reviewer4,352,10.5194/hess-21-3839-2017,https://doi.org/10.5194/hess-21-3839-2017,"Wright, A.; Walker, J.P.; Robertson, D.E.; Pauwels, V.R.N.; Sprenger, M.; Tetzlaff, D.; Soulsby, C. (2017) Soil water stable isotopes reveal evaporation dynamics at the soil-plant-atmosphere interface of the critical zone. Hydrology and Earth System Sciences. 21, 3839-3856.",Hydrology and Earth System Sciences
Reviewer4,385,10.5194/hess-21-3231-2017,https://doi.org/10.5194/hess-21-3231-2017,"Laizé, C.L.R.; Meredith, C.B.; Dunbar, M.J.; Hannah, D.M. (2017) Climate and basin drivers of seasonal river water temperature dynamics. Hydrology and Earth System Sciences. 21, 3231-3247.",Hydrology and Earth System Sciences
Reviewer4,389,10.5194/hess-21-3145-2017,https://doi.org/10.5194/hess-21-3145-2017,"Abera, W.; Formetta, G.; Brocca, L.; Rigon, R. (2017) Modeling the water budget of the Upper Blue Nile basin using the JGrass-NewAge model system and satellite data. Hydrology and Earth System Sciences. 21, 3145-3165.",Hydrology and Earth System Sciences
Reviewer4,437,10.5194/hess-21-2219-2017,https://doi.org/10.5194/hess-21-2219-2017,"Elshorbagy, A.; Bharath, R.; Lakhanpal, A.; Ceola, S.; Montanari, A.; Lindenschmidt, K.-E. (2017) Topography-and nightlight-based national flood risk assessment in Canada. Hydrology and Earth System Sciences. 21, 2219-2232.",Hydrology and Earth System Sciences
Reviewer4,443,10.5194/hess-21-2107-2017,https://doi.org/10.5194/hess-21-2107-2017,"Guo, D.; Westra, S.; Maier, H.R. (2017) Sensitivity of potential evapotranspiration to changes in climate variables for different Australian climatic zones. Hydrology and Earth System Sciences. 21, 2107-2126.",Hydrology and Earth System Sciences
Reviewer4,476,10.5194/hess-21-1515-2017,https://doi.org/10.5194/hess-21-1515-2017,"Ning, T.; Li, Z.; Liu, W. (2017) Vegetation dynamics and climate seasonality jointly control the interannual catchment water balance in the Loess Plateau under the Budyko framework. Hydrology and Earth System Sciences. 21, 1515-1526.",Hydrology and Earth System Sciences
